feature,mean_abs_shap
eeg_T4-A1_linelen_mean,0.00044441783803094066
eeg_Fp1-T3_skew_std,0.00044391004757753224
eeg_Fp1-C3_peak_freq_mean,0.0004438976691661221
eeg_Fp1-A1_alpha_bp_rel_mean,0.00044263939928931194
eeg_T3-O1_ptp_std,0.00044237738459116787
eeg_T4-O2_bandwidth_mean,0.00044122439852289653
eeg_EMG1_ptp_mean,0.0004411091323774716
eeg_EOGD_gamma_haut_bp_rel_mean,0.00044014969900262
eeg_Fp2-A1_theta_bp_rel_std,0.00043848772867665503
eeg_EOGD_spec_centroid_mean,0.00043671837175564385
eeg_EOGG_beta_bp_abs_std,0.00043567558245594475
eeg_T3-O1_var_std,0.0004341856252918793
eeg_T3-O1_theta_bp_rel_std,0.00043317720447555425
eeg_EOGD_mean_mean,0.00043299478633343583
eeg_Fp1-T3_kurt_mean,0.0004328477915329272
eeg_EMG2_spec_centroid_mean,0.0004320347929120069
eeg_T4-O2_delta_bp_abs_mean,0.0004300605611962229
eeg_Fp2-A1_bandwidth_std,0.0004288067888331503
eeg_RONF_delta_bp_rel_std,0.0004259973056330988
eeg_JAMBD_rms_std,0.0004247892370501343
eeg_Fp2-C4_alpha_bp_rel_std,0.0004243518868256746
eeg_C3-A1_gamma_bas_bp_rel_std,0.0004231560846021102
eeg_Fp1-T3_spec_centroid_std,0.0004206428537136416
eeg_T3-A1_delta_bp_abs_std,0.0004177717044521753
eeg_T3-O1_mean_std,0.000417107632342269
eeg_C4-A1_rms_mean,0.0004153464270980029
eeg_EMG1_zc_std,0.00041532950142366185
eeg_ECG_linelen_std,0.0004152556263032629
eeg_EOGG_var_std,0.00041326118283277745
eeg_Fp2-C4_gamma_haut_bp_rel_mean,0.0004131445300527067
eeg_EMG1_std_mean,0.0004122785621463796
eeg_ECG_alpha_bp_abs_mean,0.0004109275730553174
eeg_JAMBD_skew_std,0.000409550331221414
eeg_EOGD_theta_bp_abs_std,0.0004090273935832534
eeg_ratio_theta_over_beta_mean,0.0004088058548030523
eeg_C3-A1_beta_bp_abs_std,0.00040878951497253543
eeg_EOGD_ptp_mean,0.0004080975880072935
eeg_EMG1_kurt_std,0.0004064451932473595
eeg_ECG_mean_std,0.0004048030299915406
