feature,importance_mean,importance_std
eeg_EOGG_rms_mean,0.0,0.0
eeg_EOGG_rms_std,0.0,0.0
eeg_EOGG_zc_mean,0.0,0.0
eeg_EOGG_zc_std,0.0,0.0
eeg_Fp1-C3_alpha_bp_rel_mean,0.0,0.0
eeg_Fp1-C3_alpha_bp_rel_std,0.0,0.0
eeg_Fp1-C3_beta_bp_rel_mean,0.0,0.0
eeg_Fp1-C3_beta_bp_rel_std,0.0,0.0
eeg_Fp1-C3_gamma_bas_bp_rel_mean,0.0,0.0
eeg_Fp1-C3_gamma_bas_bp_rel_std,0.0,0.0
eeg_Fp1-C3_gamma_haut_bp_rel_mean,0.0,0.0
eeg_Fp1-C3_gamma_haut_bp_rel_std,0.0,0.0
eeg_Fp1-C3_gamma_bas_bp_abs_mean,0.0,0.0
eeg_Fp1-C3_gamma_bas_bp_abs_std,0.0,0.0
eeg_Fp1-C3_gamma_haut_bp_abs_mean,0.0,0.0
eeg_Fp1-C3_gamma_haut_bp_abs_std,0.0,0.0
eeg_Fp1-C3_delta_bp_rel_mean,0.0,0.0
eeg_Fp1-C3_delta_bp_rel_std,0.0,0.0
eeg_Fp1-C3_theta_bp_rel_mean,0.0,0.0
eeg_Fp1-C3_theta_bp_rel_std,0.0,0.0
eeg_Fp1-C3_delta_bp_abs_mean,0.0,0.0
eeg_Fp1-C3_delta_bp_abs_std,0.0,0.0
eeg_Fp1-C3_theta_bp_abs_mean,0.0,0.0
eeg_Fp1-C3_theta_bp_abs_std,0.0,0.0
eeg_Fp1-C3_alpha_bp_abs_mean,0.0,0.0
eeg_Fp1-C3_alpha_bp_abs_std,0.0,0.0
eeg_Fp1-C3_beta_bp_abs_mean,0.0,0.0
eeg_Fp1-C3_beta_bp_abs_std,0.0,0.0
eeg_Fp1-T3_alpha_bp_rel_mean,0.0,0.0
eeg_Fp1-T3_alpha_bp_rel_std,0.0,0.0
eeg_Fp1-T3_beta_bp_rel_mean,0.0,0.0
eeg_Fp1-T3_beta_bp_rel_std,0.0,0.0
eeg_Fp1-T3_gamma_bas_bp_rel_mean,0.0,0.0
eeg_Fp1-T3_gamma_bas_bp_rel_std,0.0,0.0
eeg_Fp1-T3_gamma_haut_bp_rel_mean,0.0,0.0
eeg_Fp1-T3_gamma_haut_bp_rel_std,0.0,0.0
eeg_Fp2-T4_delta_bp_abs_mean,0.0,0.0
eeg_Fp2-T4_delta_bp_abs_std,0.0,0.0
eeg_Fp2-T4_theta_bp_abs_mean,0.0,0.0
eeg_Fp2-T4_theta_bp_abs_std,0.0,0.0
eeg_Fp2-T4_alpha_bp_abs_mean,0.0,0.0
eeg_Fp2-T4_alpha_bp_abs_std,0.0,0.0
eeg_Fp2-T4_beta_bp_abs_mean,0.0,0.0
eeg_Fp2-T4_beta_bp_abs_std,0.0,0.0
eeg_T3-O1_alpha_bp_rel_mean,0.0,0.0
eeg_T3-O1_alpha_bp_rel_std,0.0,0.0
eeg_T3-O1_beta_bp_rel_mean,0.0,0.0
eeg_T3-O1_beta_bp_rel_std,0.0,0.0
eeg_T3-O1_gamma_bas_bp_rel_mean,0.0,0.0
eeg_T3-O1_gamma_bas_bp_rel_std,0.0,0.0
eeg_T3-O1_gamma_haut_bp_rel_mean,0.0,0.0
eeg_T3-O1_gamma_haut_bp_rel_std,0.0,0.0
eeg_T3-O1_gamma_bas_bp_abs_mean,0.0,0.0
eeg_T3-O1_gamma_bas_bp_abs_std,0.0,0.0
eeg_T3-O1_gamma_haut_bp_abs_mean,0.0,0.0
eeg_T3-O1_gamma_haut_bp_abs_std,0.0,0.0
eeg_T3-O1_delta_bp_rel_mean,0.0,0.0
eeg_T3-O1_delta_bp_rel_std,0.0,0.0
eeg_T3-O1_theta_bp_rel_mean,0.0,0.0
eeg_T3-O1_theta_bp_rel_std,0.0,0.0
eeg_T3-O1_delta_bp_abs_mean,0.0,0.0
eeg_T3-O1_delta_bp_abs_std,0.0,0.0
eeg_T3-O1_theta_bp_abs_mean,0.0,0.0
eeg_T3-O1_theta_bp_abs_std,0.0,0.0
eeg_T3-O1_alpha_bp_abs_mean,0.0,0.0
eeg_T3-O1_alpha_bp_abs_std,0.0,0.0
eeg_T3-O1_beta_bp_abs_mean,0.0,0.0
eeg_T3-O1_beta_bp_abs_std,0.0,0.0
eeg_Fp2-C4_gamma_bas_bp_abs_mean,0.0,0.0
eeg_Fp2-C4_gamma_bas_bp_abs_std,0.0,0.0
eeg_Fp2-C4_gamma_haut_bp_abs_mean,0.0,0.0
eeg_Fp2-C4_gamma_haut_bp_abs_std,0.0,0.0
eeg_Fp2-C4_delta_bp_rel_mean,0.0,0.0
eeg_Fp2-C4_delta_bp_rel_std,0.0,0.0
eeg_Fp2-C4_theta_bp_rel_mean,0.0,0.0
eeg_Fp2-C4_theta_bp_rel_std,0.0,0.0
eeg_Fp2-C4_delta_bp_abs_mean,0.0,0.0
eeg_Fp2-C4_delta_bp_abs_std,0.0,0.0
eeg_Fp2-C4_theta_bp_abs_mean,0.0,0.0
eeg_Fp2-C4_theta_bp_abs_std,0.0,0.0
eeg_Fp2-C4_alpha_bp_abs_mean,0.0,0.0
eeg_Fp2-C4_alpha_bp_abs_std,0.0,0.0
eeg_Fp2-C4_beta_bp_abs_mean,0.0,0.0
eeg_Fp2-C4_beta_bp_abs_std,0.0,0.0
eeg_Fp2-T4_alpha_bp_rel_mean,0.0,0.0
eeg_Fp2-T4_alpha_bp_rel_std,0.0,0.0
eeg_Fp2-T4_beta_bp_rel_mean,0.0,0.0
eeg_Fp2-T4_beta_bp_rel_std,0.0,0.0
eeg_Fp2-T4_gamma_bas_bp_rel_mean,0.0,0.0
eeg_Fp2-T4_gamma_bas_bp_rel_std,0.0,0.0
eeg_Fp2-T4_gamma_haut_bp_rel_mean,0.0,0.0
eeg_Fp2-T4_gamma_haut_bp_rel_std,0.0,0.0
eeg_Fp2-T4_gamma_bas_bp_abs_mean,0.0,0.0
eeg_Fp2-T4_gamma_bas_bp_abs_std,0.0,0.0
eeg_Fp2-T4_gamma_haut_bp_abs_mean,0.0,0.0
eeg_Fp2-T4_gamma_haut_bp_abs_std,0.0,0.0
eeg_Fp2-T4_delta_bp_rel_mean,0.0,0.0
eeg_Fp2-T4_delta_bp_rel_std,0.0,0.0
eeg_Fp2-T4_theta_bp_rel_mean,0.0,0.0
eeg_Fp2-T4_theta_bp_rel_std,0.0,0.0
eeg_T4-O2_alpha_bp_rel_mean,0.0,0.0
eeg_T4-O2_alpha_bp_rel_std,0.0,0.0
eeg_T4-O2_beta_bp_rel_mean,0.0,0.0
eeg_T4-O2_beta_bp_rel_std,0.0,0.0
eeg_T4-O2_gamma_bas_bp_rel_mean,0.0,0.0
eeg_T4-O2_gamma_bas_bp_rel_std,0.0,0.0
eeg_T4-O2_gamma_haut_bp_rel_mean,0.0,0.0
eeg_T4-O2_gamma_haut_bp_rel_std,0.0,0.0
eeg_T4-O2_gamma_bas_bp_abs_mean,0.0,0.0
eeg_T4-O2_gamma_bas_bp_abs_std,0.0,0.0
eeg_T4-O2_gamma_haut_bp_abs_mean,0.0,0.0
eeg_T4-O2_gamma_haut_bp_abs_std,0.0,0.0
eeg_T4-O2_delta_bp_rel_mean,0.0,0.0
eeg_T4-O2_delta_bp_rel_std,0.0,0.0
eeg_T4-O2_theta_bp_rel_mean,0.0,0.0
eeg_T4-O2_theta_bp_rel_std,0.0,0.0
eeg_T4-O2_delta_bp_abs_mean,0.0,0.0
eeg_T4-O2_delta_bp_abs_std,0.0,0.0
eeg_T4-O2_theta_bp_abs_mean,0.0,0.0
eeg_T4-O2_theta_bp_abs_std,0.0,0.0
eeg_T4-O2_alpha_bp_abs_mean,0.0,0.0
eeg_T4-O2_alpha_bp_abs_std,0.0,0.0
eeg_T4-O2_beta_bp_abs_mean,0.0,0.0
eeg_T4-O2_beta_bp_abs_std,0.0,0.0
eeg_Fp2-C4_alpha_bp_rel_mean,0.0,0.0
eeg_Fp2-C4_alpha_bp_rel_std,0.0,0.0
eeg_Fp2-C4_beta_bp_rel_mean,0.0,0.0
eeg_Fp2-C4_beta_bp_rel_std,0.0,0.0
eeg_Fp2-C4_gamma_bas_bp_rel_mean,0.0,0.0
eeg_Fp2-C4_gamma_bas_bp_rel_std,0.0,0.0
eeg_Fp2-C4_gamma_haut_bp_rel_mean,0.0,0.0
eeg_Fp2-C4_gamma_haut_bp_rel_std,0.0,0.0
eeg_Fp2-A1_delta_bp_abs_mean,0.0,0.0
eeg_Fp2-A1_delta_bp_abs_std,0.0,0.0
eeg_Fp2-A1_theta_bp_abs_mean,0.0,0.0
eeg_Fp2-A1_theta_bp_abs_std,0.0,0.0
eeg_Fp2-A1_alpha_bp_abs_mean,0.0,0.0
eeg_Fp2-A1_alpha_bp_abs_std,0.0,0.0
eeg_Fp2-A1_beta_bp_abs_mean,0.0,0.0
eeg_Fp2-A1_beta_bp_abs_std,0.0,0.0
eeg_Fp1-A1_alpha_bp_rel_mean,0.0,0.0
