band,channel,value,group1,group2,n1,n2,U,p_raw,r_rb,p_holm,stars
delta,C4-A1,abs,SYN,TCSPi,15,36,276.0,0.9094767963213571,-0.022222222222222143,0.9094767963213571,
theta,Fp1-T3,rel,EAI,Narco,6,11,16.0,0.0982546864899806,0.5151515151515151,0.5895281189398837,
theta,Fp1-T3,rel,EAI,SYN,6,19,51.0,0.7332580463015246,0.10526315789473684,1.0,
theta,Fp1-T3,rel,EAI,TCSPi,6,39,74.0,0.15971693271749993,0.36752136752136755,0.5895281189398837,
theta,Fp1-T3,rel,Narco,SYN,11,19,140.0,0.13199622881221693,-0.3397129186602872,0.5895281189398837,
theta,Fp1-T3,rel,Narco,TCSPi,11,39,231.0,0.7078751351521717,-0.07692307692307687,1.0,
theta,Fp1-T3,rel,SYN,TCSPi,19,39,272.0,0.10445917255300086,0.26585695006747634,0.5895281189398837,
theta,Fp1-T3,abs,EAI,Narco,6,9,6.0,0.011988011988011988,0.7777777777777778,0.07192807192807193,
theta,Fp1-T3,abs,EAI,SYN,6,17,17.0,0.015790464303050117,0.6666666666666667,0.07895232151525058,
theta,Fp1-T3,abs,EAI,TCSPi,6,36,53.0,0.04828447062079924,0.5092592592592593,0.19313788248319697,
theta,Fp1-T3,abs,Narco,SYN,9,17,71.0,0.7875572317029235,0.07189542483660127,1.0,
theta,Fp1-T3,abs,Narco,TCSPi,9,36,183.0,0.5607741862412716,-0.12962962962962954,1.0,
theta,Fp1-T3,abs,SYN,TCSPi,17,36,354.0,0.3653957675288303,-0.15686274509803932,1.0,
theta,Fp1-C3,rel,EAI,Narco,6,11,7.0,0.007110536522301229,0.7878787878787878,0.04266321913380737,*
theta,Fp1-C3,rel,EAI,SYN,6,19,45.0,0.4746019198193111,0.21052631578947367,0.6404003187765084,
theta,Fp1-C3,rel,EAI,TCSPi,6,39,71.0,0.1312358656658146,0.3931623931623932,0.39370759699744384,
theta,Fp1-C3,rel,Narco,SYN,11,19,155.0,0.03141126164691394,-0.4832535885167464,0.1570563082345697,
theta,Fp1-C3,rel,Narco,TCSPi,11,39,302.0,0.04160065512778662,-0.407925407925408,0.1664026205111465,
theta,Fp1-C3,rel,SYN,TCSPi,19,39,310.0,0.3202001593882542,0.1632928475033738,0.6404003187765084,
theta,Fp1-C3,abs,EAI,Narco,6,10,10.0,0.031218781218781223,0.6666666666666667,0.18731268731268735,
theta,Fp1-C3,abs,EAI,SYN,6,18,22.0,0.033002466640910576,0.5925925925925926,0.18731268731268735,
theta,Fp1-C3,abs,EAI,TCSPi,6,35,81.0,0.3956077633869675,0.22857142857142854,0.791215526773935,
theta,Fp1-C3,abs,Narco,SYN,10,18,92.0,0.9426659752794467,-0.022222222222222143,0.9426659752794467,
theta,Fp1-C3,abs,Narco,TCSPi,10,35,242.0,0.06944513100337919,-0.3828571428571428,0.26830215309566086,
theta,Fp1-C3,abs,SYN,TCSPi,18,35,413.0,0.06707553827391521,-0.3111111111111111,0.26830215309566086,
theta,T3-O1,rel,EAI,Narco,7,11,44.0,0.6589994972347913,-0.1428571428571428,1.0,
theta,T3-O1,rel,EAI,SYN,7,19,83.0,0.3635056248099726,-0.24812030075187974,1.0,
theta,T3-O1,rel,EAI,TCSPi,7,38,139.0,0.8662445388480557,-0.04511278195488733,1.0,
theta,T3-O1,rel,Narco,SYN,11,19,113.0,0.7306268857145148,-0.08133971291866038,1.0,
