band,channel,value,group,mean,sd,n
beta,Fp1-C3,abs,Narco,4.52026244998866e-11,5.708443277344161e-11,11
beta,Fp1-C3,abs,SYN,1.0273430857165286e-10,1.9136395940069362e-10,19
beta,Fp1-C3,abs,TCSPi,7.243581593227079e-11,2.1632568705811093e-10,39
beta,Fp2-T4,rel,EAI,0.11941474377722858,0.06516051471265279,7
beta,Fp2-T4,rel,Narco,0.06271282290211161,0.026259035965447257,11
beta,Fp2-T4,rel,SYN,0.11128122000444744,0.05247323196955434,19
beta,Fp2-T4,rel,TCSPi,0.12089037539281006,0.05253798232672143,39
beta,Fp2-T4,abs,EAI,4.073894098550117e-11,4.2957061372151946e-11,7
beta,Fp2-T4,abs,Narco,4.9129910237087653e-11,4.573712533927207e-11,11
beta,Fp2-T4,abs,SYN,5.6298201244507446e-11,5.462779253614308e-11,19
beta,Fp2-T4,abs,TCSPi,3.66587405040909e-11,2.4656880834460707e-11,39
beta,Fp2-C4,rel,EAI,0.1261034999709662,0.06635291466117879,7
beta,Fp2-C4,rel,Narco,0.06134611506269983,0.027273995347139077,11
beta,Fp2-C4,rel,SYN,0.11519226913929144,0.05893447811772829,19
beta,Fp2-C4,rel,TCSPi,0.1306187176765526,0.04745222441935549,39
beta,Fp2-C4,abs,EAI,2.909946361884232e-11,1.657326917020287e-11,7
beta,Fp2-C4,abs,Narco,1.1180885864852625e-10,2.08297524070955e-10,11
beta,Fp2-C4,abs,SYN,5.690856424335687e-11,5.706251648818053e-11,19
beta,Fp2-C4,abs,TCSPi,3.5803235808841917e-11,2.685812827747385e-11,39
beta,T4-O2,rel,EAI,0.10370673333066195,0.04660977510650985,7
beta,T4-O2,rel,Narco,0.07729397125467022,0.048260979298610784,11
beta,T4-O2,rel,SYN,0.10255175596159354,0.04512997902863694,19
beta,T4-O2,rel,TCSPi,0.09740789410054619,0.03654923452158082,39
beta,T4-O2,abs,EAI,3.922781648029262e-11,4.2530274224331315e-11,7
beta,T4-O2,abs,Narco,9.623242257621968e-10,2.2685330609147482e-09,11
beta,T4-O2,abs,SYN,4.327370826504081e-11,2.9543407659097626e-11,19
beta,T4-O2,abs,TCSPi,3.9606703384786613e-11,5.4637551828524955e-11,39
beta,Fp1-A1,rel,EAI,0.12186570916963935,0.04385684391894582,7
beta,Fp1-A1,rel,Narco,0.08923187714908988,0.05030876544906732,11
beta,Fp1-A1,rel,SYN,0.11397711205681994,0.05303025438528575,19
beta,Fp1-A1,rel,TCSPi,0.11647391129093479,0.038769402056787416,39
beta,Fp1-A1,abs,EAI,5.7998759937911133e-11,2.792980742467382e-11,7
