feature,importance
Delta_skew_11,0.00010815069
Delta_skew_20,0.000108138396
Alpha_wavelet_12_6,0.000107981425
Beta_wavelet_22_7,0.00010782258
Gamma_mean_7,0.00010751609
Beta_wavelet_22_6,0.0001072693
Alpha_wavelet_23_8,0.000106617634
Alpha_var_25,0.000105589024
Beta_psd_mean_4,0.000105091305
Alpha_skew_31,0.00010505841
Alpha_wavelet_0_5,0.00010497691
Beta_var_29,0.000104606144
Alpha_wavelet_23_6,0.000104378836
Alpha_wavelet_0_6,0.000104363055
Beta_wavelet_6_8,0.00010408448
Gamma_wavelet_1_7,0.00010367944
Beta_wavelet_14_8,0.000103584476
Alpha_power_18,0.00010325052
Alpha_wavelet_18_8,0.00010317752
Alpha_psd_mean_13,0.000102336424
Theta_std_24,0.00010215141
Delta_wavelet_7_8,0.00010211178
Gamma_wavelet_11_6,0.000102065394
Theta_wavelet_24_9,0.000100578545
Beta_psd_mean_9,0.000100417725
Alpha_var_11,9.978274e-05
Delta_var_12,9.8910736e-05
Delta_wavelet_14_8,9.684585e-05
Theta_wavelet_20_5,9.66283e-05
Gamma_wavelet_29_8,9.628797e-05
Delta_wavelet_11_6,9.609953e-05
Gamma_wavelet_1_6,9.585111e-05
Gamma_psd_mean_5,9.58477e-05
Theta_wavelet_31_5,9.5716045e-05
Alpha_var_20,9.547048e-05
Delta_var_0,9.532184e-05
Delta_var_10,9.527553e-05
Alpha_wavelet_13_6,9.522975e-05
Gamma_var_22,9.350014e-05
Delta_wavelet_7_5,9.238555e-05
Theta_wavelet_18_2,9.22424e-05
Delta_power_11,9.214717e-05
Theta_wavelet_28_5,9.1729045e-05
Alpha_psd_mean_9,9.1575996e-05
Beta_wavelet_7_9,9.153449e-05
Delta_wavelet_19_2,9.119757e-05
Alpha_wavelet_1_5,9.107056e-05
Gamma_wavelet_3_9,9.1048445e-05
Theta_wavelet_14_8,9.078075e-05
Beta_pca_var_1,8.9806876e-05
Gamma_skew_2,8.918303e-05
Delta_std_25,8.9168185e-05
Delta_skew_23,8.914218e-05
Gamma_psd_mean_7,8.9117646e-05
Delta_wavelet_12_6,8.90632e-05
Delta_wavelet_7_0,8.753694e-05
Beta_psd_mean_24,8.738329e-05
Delta_power_7,8.631431e-05
Gamma_wavelet_14_5,8.577816e-05
Alpha_wavelet_7_6,8.5623484e-05
Beta_wavelet_3_5,8.537977e-05
Theta_var_28,8.51354e-05
Alpha_psd_mean_26,8.416169e-05
Gamma_wavelet_4_6,8.351581e-05
Delta_wavelet_9_5,8.267593e-05
Beta_skew_18,8.190958e-05
Delta_std_20,8.174206e-05
Beta_wavelet_1_6,8.0925114e-05
Theta_wavelet_3_5,8.086124e-05
Gamma_wavelet_16_5,8.027255e-05
Beta_skew_27,7.898712e-05
Delta_mean_4,7.8361016e-05
Gamma_wavelet_15_9,7.817376e-05
Theta_wavelet_2_7,7.809647e-05
Alpha_mean_7,7.750973e-05
Beta_wavelet_20_1,7.736505e-05
Delta_wavelet_17_2,7.609974e-05
Delta_wavelet_0_9,7.447618e-05
Gamma_skew_22,7.4450705e-05
Theta_wavelet_13_6,7.383122e-05
Gamma_wavelet_24_5,7.3807925e-05
Beta_skew_10,7.363639e-05
Gamma_wavelet_21_9,7.354268e-05
Beta_wavelet_16_5,7.315132e-05
Theta_psd_mean_12,7.29108e-05
Alpha_wavelet_12_5,7.2902265e-05
Theta_power_0,7.22685e-05
Delta_power_3,7.223997e-05
Alpha_psd_mean_22,7.144629e-05
Beta_wavelet_9_8,7.1437746e-05
Alpha_wavelet_14_5,7.122046e-05
Theta_skew_19,7.0979055e-05
Delta_psd_mean_0,7.0725946e-05
Gamma_skew_23,7.047728e-05
Delta_wavelet_21_8,7.043669e-05
Delta_psd_mean_9,6.941898e-05
Theta_wavelet_5_9,6.926953e-05
Gamma_wavelet_5_7,6.923986e-05
Gamma_wavelet_18_1,6.898389e-05
Beta_wavelet_7_1,6.875018e-05
Alpha_wavelet_0_8,6.798635e-05
Beta_wavelet_14_6,6.777147e-05
Beta_wavelet_24_5,6.701167e-05
Gamma_psd_mean_15,6.683937e-05
Beta_wavelet_1_5,6.50027e-05
Alpha_pca_var_0,6.494767e-05
Gamma_psd_mean_23,6.48785e-05
Gamma_wavelet_12_6,6.4821324e-05
Alpha_wavelet_20_4,6.460171e-05
Alpha_psd_mean_11,6.396423e-05
Theta_wavelet_6_7,6.390365e-05
Delta_wavelet_4_7,6.312463e-05
Beta_wavelet_11_5,6.138642e-05
Theta_wavelet_21_6,6.1256935e-05
Delta_mean_0,6.105495e-05
Beta_wavelet_7_4,6.1008286e-05
Alpha_wavelet_19_8,6.0655384e-05
Theta_wavelet_14_6,5.9939113e-05
Gamma_skew_12,5.9744358e-05
Gamma_mean_3,5.9063637e-05
Delta_power_18,5.889857e-05
Beta_var_26,5.8728434e-05
Alpha_wavelet_3_3,5.864178e-05
Beta_psd_mean_6,5.7786823e-05
Theta_wavelet_9_7,5.777607e-05
Theta_wavelet_26_8,5.7535643e-05
Delta_power_23,5.7432826e-05
Beta_wavelet_22_3,5.7158904e-05
Beta_wavelet_31_1,5.699524e-05
Gamma_wavelet_16_9,5.6188626e-05
Delta_wavelet_4_6,5.5273664e-05
Alpha_wavelet_1_9,5.52571e-05
Gamma_psd_mean_3,5.4688648e-05
Theta_wavelet_25_6,5.3947042e-05
Gamma_wavelet_25_0,5.362777e-05
Alpha_wavelet_12_9,5.3565735e-05
Gamma_wavelet_9_8,5.351463e-05
Beta_wavelet_0_5,5.3125186e-05
Delta_wavelet_20_9,5.2859905e-05
Gamma_skew_29,5.221214e-05
Theta_wavelet_11_7,5.2187763e-05
Beta_skew_15,5.1830917e-05
Theta_wavelet_26_5,5.111959e-05
Alpha_wavelet_8_2,5.111542e-05
Beta_wavelet_14_1,5.021576e-05
Gamma_wavelet_3_6,4.9387236e-05
Delta_wavelet_5_9,4.9385748e-05
Theta_wavelet_9_8,4.9384576e-05
Theta_wavelet_12_6,4.928526e-05
Gamma_wavelet_1_8,4.8922324e-05
Delta_std_23,4.878091e-05
Theta_psd_mean_24,4.869306e-05
Theta_var_31,4.8626698e-05
Beta_wavelet_30_9,4.8468188e-05
Gamma_wavelet_22_1,4.803612e-05
Beta_wavelet_24_9,4.7621153e-05
Alpha_wavelet_14_9,4.738372e-05
Delta_wavelet_13_6,4.7355927e-05
Gamma_wavelet_2_7,4.720959e-05
Theta_var_15,4.7199755e-05
Theta_wavelet_13_9,4.6820787e-05
Alpha_std_18,4.6796187e-05
Alpha_wavelet_24_6,4.6793688e-05
Gamma_skew_1,4.671417e-05
Alpha_wavelet_5_2,4.5731962e-05
Theta_wavelet_18_8,4.5392808e-05
Gamma_wavelet_20_5,4.527255e-05
Theta_wavelet_15_7,4.515738e-05
Theta_std_3,4.4743036e-05
Delta_power_15,4.4449793e-05
Gamma_wavelet_22_4,4.3680564e-05
Theta_wavelet_11_8,4.3280153e-05
Gamma_wavelet_25_8,4.3139622e-05
Gamma_wavelet_18_6,4.3128235e-05
Gamma_wavelet_19_5,4.293132e-05
